# mymap
#block xmin ymin zmin xmax ymax zmax r g b

boundary 0.0 0.0 0.0 16.0 20.0 6.0

block  0.0  3.0  0.0 8.0  3.5  1.5 0 255 0
block  0.0  3.0  4.5 8.0  3.5  6.0 0 255 0
block  0.0  3.0  1.5  2.0  3.5  4.5 0 255 0
block  6.0  3.0  1.5 8.0  3.5  4.5 0 255 0

block  4.0  6.0  2.5  8.0  6.5  4.5 0 255 0
block  8.5  12.0  1.5  12.5  12.5   3.5 0 255 0

block   0.0 15.0  0.0 8.0 16.0  6.0 0 255 0

block   14.0 16.0  0.0 14.5 20.0  3.0 0 255 0
block   12.0 16.0  3.0 12.5 20.0  6.0 0 255 0
block   10.0 16.0  0.0 10.5 20.0  3.0 0 255 0
block   8.0 16.0  3.0 8.5 20.0  6.0 0 255 0
block   6.0 16.0  0.0 6.5 20.0  3.0 0 255 0
block   4.0 16.0  3.0 4.5 20.0  6.0 0 255 0
block   2.0 16.0  0.0 2.5 20.0  3.0 0 255 0
block   0.0 16.0  3.0 0.5 20.0  6.0 0 255 0


block  8.0  3.0  0.0 16.0  3.5  1.5 0 255 0
block  8.0  3.0  4.5 16.0  3.5  6.0 0 255 0
block  8.0  3.0  1.5  10.0  3.5  4.5 0 255 0
block  14.0  3.0  1.5 16.0  3.5  4.5 0 255 0

block  8.0  3.5  0.0 8.5  16.0  1.5 0 255 0
block  8.0  3.5  4.5 8.5  16.0  6.0 0 255 0
block  8.0  3.5  1.5  8.5  6.5  4.5 0 255 0
block  8.0  12.0  1.5 8.5  16.0  4.5 0 255 0

block  10.0  6.5  0.0  12.0  7.0  6.0 0 255 0
block  12.0  6.5  0.0 12.5  8.5  6.0 0 255 0

block  4.0  11.5  0.0  6.0  12.0  6.0 0 255 0
block  3.5  10.0  0.0 4.0  12.0  6.0 0 255 0

block  7.5  0.0  0.0 8.0  3.0  6.0 0 255 0
